Name,Address,City,State,Zip Code,Country,Latitude,Longitude,categories
Hardees,8405 Hampton Blvd,Norfolk,VA,23505,US,36.929187,-76.317875,Fast Food Restaurants
Hardees,430 Denbigh Blvd,Newport News,VA,23608,US,37.131199,-76.532961,Fast Food Restaurant
Hardees,3750 Candlers Mountain Rd,Lynchburg,VA,24502,US,37.365812,-79.172249,Fast Food Restaurant
Hardees,501 S Hicks St,Lawrenceville,VA,23868,US,36.752234,-77.852597,Fast Food Restaurant
Hardees,2231 Langhorne Rd,Lynchburg,VA,24501,US,37.412957,-79.173991,Fast Food Restaurant
YUM Brands,45201 Schoenherr Rd,Utica,MI,48315,US,42.62877,-82.993912,Fast Food Restaurant
YUM Brands,3860 S State Rd,Ann Arbor,MI,48108,US,42.230907,-83.739813,Fast Food Restaurants
YUM Brands,9640 Hageman Rd,Bakersfield,CA,93312,US,35.398432,-119.10936399999999,Fast Food Restaurants
Dairy Queen,6255 Central Ave,Portage,IN,46368,US,41.575922999999996,-87.17319599999999,Fast Food Restaurants
Dairy Queen,6801 Highway 41 N,Evansville,IN,47711,US,38.040812,-87.540047,Fast Food Restaurant
Dairy Queen,3826 English Ave,Indianapolis,IN,46201,US,39.760374,-86.101163,Ice Cream Shop and Fast Food Restaurant Christian Park
Dairy Queen,3303 Lincolnway E,Mishawaka,IN,46544,US,41.66294,-86.12615,Fast Food Restaurant and Ice Cream Shop
Dairy Queen,4830 University Dr,Evansville,IN,47712,US,37.977571000000005,-87.634586,Fast Food Restaurant
Dairy Queen,309 State Road 13 N,North Manchester,IN,46962,US,41.016467999999996,-85.759674,Fast Food Restaurants
Dairy Queen,3302 Kamer Miller Rd,New Albany,IN,47150,US,38.346607,-85.797911,Fast Food Restaurants
YUM Brands,32940 Michigan Ave,Wayne,MI,48184,US,42.283657,-83.36389799999999,Fast Food Restaurant
Dairy Queen,913 Charleston Ave,Mattoon,IL,61938,US,39.481538,-88.36445400000001,Fast Food Restaurants
Dairy Queen,5636 W Irving Park Rd,Chicago,IL,60634,US,41.953301,-87.767849,Fast Food
Dairy Queen,685 W Main St,El Paso,IL,61738,US,40.737017,-89.026139,Fast Food Restaurant
Dairy Queen,601 E Oak St,Mahomet,IL,61853,US,40.191908000000005,-88.401881,Fast Food Restaurant
McDonald's,35 White St,Cambridge,MA,2140,US,42.389162,-71.11789,Fast Food
McDonald's,340 Longwood Ave,Boston,MA,2115,US,42.338242,-71.106394,Fast Food Restaurants
YUM Brands,2306 Dix Hwy,Lincoln Park,MI,48146,US,42.25059,-83.19532199999999,Fast Food Restaurant and Mexican Restaurant
YUM Brands,1108 Lincoln Way East,Massillon,OH,44646,US,40.80019,-81.511421,Fast Food
YUM Brands,705 York Road,Kings Mountain,NC,28086,US,35.231412,-81.332652,Fast Food
Dairy Queen,401 S 2nd St,Pekin,IL,61554,US,40.566695,-89.653915,Fast Food Restaurants
Dairy Queen,4204 N Sheridan Rd,Peoria,IL,61614,US,40.738856,-89.602672,Fast Food Restaurants
Dairy Queen,401 S 6th St,Petersburg,IL,62675,US,40.008448,-89.84830799999999,Fast Food Restaurant
Dairy Queen,4605 E Maryland St,Decatur,IL,62521,US,39.819918,-88.883699,Fast Food Restaurants
Dairy Queen,3106 3 Oaks Rd,Cary,IL,60013,US,42.219046999999996,-88.258381,Fast Food Restaurants
Dairy Queen,316 N Main St,Monmouth,IL,61462,US,40.914208,-90.648196,Fast Food Restaurants
Dairy Queen,201 E Deyoung St,Marion,IL,62959,US,37.740922999999995,-88.92539599999999,Fast Food Restaurant
Dairy Queen,201 E Deyoung St,Marion,IL,62959,US,37.740922999999995,-88.92539599999999,Fast Food Restaurants
McDonald's,1737 N University Ave,Lafayette,LA,70507,US,30.252668,-92.037149,Fast Food Restaurants
McDonald's,249 E State St,Montrose,MI,48457,US,43.176212,-83.887437,Fast Food Restaurants
Wendy's,8010 Sudley Rd,Manassas,VA,20109,US,38.781659999999995,-77.51244,Fast Food Restaurant
